,test_vis_ndcg,test_txt_ndcg,test_vis_map,test_txt_map,test_avg_map,test_charades_ego_mAP,test_egtea_top_1_accuracy,test_egtea_mean_class_accuracy
DUAL_ENCODER_IoU_0.025_NOUN_AND_VERBS_DAIS,0.3076204324122645,0.27701572788800766,0.3057033924231793,0.23846572397640603,0.27208455819979266,0.2225074544589129,28.3102766798419,26.630540424684284
baseline,0.30779011078353935,0.27878159822178544,0.30893064887446464,0.24089609448674223,0.2749133716806034,0.22156126927914574,28.90316205533597,25.125775426262877
